CÓDIGO,UNIDADE,TÍTULO,ÁREA DE CONHECIMENTO,VINCULAÇÃO,FINANCIADO,PASSA POR COMITÊ,PARTICIPAÇÃO,STATUS,DATA DE CADASTRO,PERÍODO DE VIGÊNCIA,Unnamed: 11
PI05906-2024,FACULDADE DE ENGENHARIA DA UFCAT,Centro Multiusuário de Pesquisas e Inovação Científicas da UFCAT (CEMPI_UFCAT),"Ciências Exatas e da Terra - Física, Engenharias - Engenharia Civil - Estruturas - Mecânica das Estruturas, Linguística, Letras e Artes - Lingüística",Tipo de vínculo desconhecido,sim,não,"DOMINGOS LOPES DA SILVA JUNIOR (DOCENTE - Colaborador), GABRIELA REZENDE FERNANDES (DOCENTE - Colaborador), JOSE JULIO DE CERQUEIRA PITUBA (DOCENTE - Coordenador), MAGDA VALERIA DA SILVA (DOCENTE - Colaborador), MARIA FERNANDA DO CARMO GURGEL (DOCENTE - Colaborador), MARIA HELENA DE PAULA (DOCENTE - Colaborador), PAULO HENRIQUE SILVA AZEVEDO (SERVIDOR - Colaborador), SAMUEL WANBERG LOURENCO NERY (SERVIDOR - Colaborador), THIAGO ALVES DE QUEIROZ (DOCENTE - Colaborador)",EM ANDAMENTO,27/11/2024,27/11/2024 a 31/10/2025,
PI05893-2024,FACULDADE DE ENGENHARIA DA UFCAT,Integração de Tecnologias na Engenharia de Produção: Automatização de Processos e Melhoria da Gestão de Sistemas Produtivos,Engenharias - Engenharia de Produção - Gerência de Produção,Tipo de vínculo desconhecido,sim,não,"ALINE GONCALVES DOS SANTOS (DOCENTE - Vice-coodernador), DANILO FERNANDES ALBERNAZ (EXTERNO - Colaborador), DEIVID MARQUES NUNES (DOCENTE - Colaborador), EVANIELLY GUIMARÃES CORREIA (EXTERNO - Colaborador), LAZARO ANTONIO DA FONSECA JUNIOR (DOCENTE - Coordenador), LEONARDO LOPES SARDINHA (DISCENTE - Colaborador), MAURY JOSE FERREIRA JUNIOR (EXTERNO - Colaborador)",EM ANDAMENTO,09/08/2024,10/08/2024 a 10/08/2028,
PI05856-2024,FACULDADE DE ENGENHARIA DA UFCAT,SIMULADOR DE ENSINO EM ENGENHARIA COM SUPORTE A DEFICIENTES VISUAIS E AUDITIVOS,Engenharias - Engenharia Civil,Tipo de vínculo desconhecido,sim,não,"ANTOVER PANAZZOLO SARMENTO (DOCENTE - Colaborador), ELIANE APARECIDA JUSTINO (DOCENTE - Colaborador), FRAN SERGIO LOBATO (EXTERNO - Colaborador), MARCOS NAPOLEAO RABELO (DOCENTE - Colaborador), MARILIA GABRIELA ALENCAR DE MORAIS (DOCENTE - Colaborador), ROMES ANTONIO BORGES (DOCENTE - Colaborador), WANDERLEI MALAQUIAS PEREIRA JUNIOR (DOCENTE - Coordenador), WELLINGTON ANDRADE DA SILVA (DOCENTE - Colaborador)",EM ANDAMENTO,29/04/2024,01/08/2024 a 31/12/2028,
PI05891-2024,FACULDADE DE ENGENHARIA DA UFCAT,ESTUDO DA APLICAÇÃO DE MODELOS DE APRENDIZADO PROFUNDO NA DETECÇÃO DE ÁGUA PARADA EM CIDADES ATRAVÉS DE IMAGENS,Ciências Exatas e da Terra - Ciência da Computação - Sistemas de Computação - Software Básico,Tipo de vínculo desconhecido,sim,não,"NILSON JORGE LEÃO JÚNIOR (DISCENTE - Colaborador), ROBERTO VIEGAS DUTRA (DISCENTE - Colaborador), SERGIO FRANCISCO DA SILVA (DOCENTE - Vice-coodernador), WANDERLEI MALAQUIAS PEREIRA JUNIOR (DOCENTE - Coordenador)",EM ANDAMENTO,31/07/2024,01/08/2024 a 30/04/2025,
,FACULDADE DE ENGENHARIA DA UFCAT,teste,Ciências Agrárias - Agronomia,Tipo de vínculo desconhecido,sim,não,ANTOVER PANAZZOLO SARMENTO (DOCENTE - Coordenador),EXCLUÍDO,26/07/2024,01/07/2024 a 30/07/2027,
PI05741-2023,FACULDADE DE ENGENHARIA DA UFCAT,APLICAÇÃO DE FERRAMENTAS DE GESTÃO E ANÁLISE DE DADOS PARA REDUÇÃO DA EVAZÃO DE DISCENTES NO CURSO DE ENGENHARIA DE PRODUÇÃO DA UNIVERSIDADE FEDERAL DE CATALÃO,Engenharias - Engenharia de Produção,Tipo de vínculo desconhecido,não,não,"ALINE GONCALVES DOS SANTOS (DOCENTE - Coordenador), FERNANDO DE ARAUJO (DOCENTE - Vice-coodernador), HELENA ALVES COELHO (DISCENTE - Colaborador), LAZARO ANTONIO DA FONSECA JUNIOR (DOCENTE - Colaborador), SARAH DOS SANTOS RABELO (DISCENTE - Colaborador), VICTORYA SILVA PEREIRA (DISCENTE - Colaborador)",FINALIZADO E AGUARDANDO PUBLICAÇÃO,02/02/2023,23/01/2023 a 31/12/2024,
PI05798-2023,FACULDADE DE ENGENHARIA DA UFCAT,"Ferramentas da gestão da produção aplicadas a micro, pequenas, médias e grandes empresas",Engenharias - Engenharia de Produção - Gerência de Produção,Tipo de vínculo desconhecido,sim,não,"ALINE GONCALVES DOS SANTOS (DOCENTE - Coordenador), GABRIEL DE MATOS MORAIS DA CONCEICAO (DISCENTE - Colaborador), KEVIM BRAHAM FERNANDES DE SOUZA (DISCENTE - Colaborador), LAZARO ANTONIO DA FONSECA JUNIOR (DOCENTE - Vice-coodernador)",EM ANDAMENTO,19/05/2023,18/05/2023 a 18/05/2026,
PI05782-2023,FACULDADE DE ENGENHARIA DA UFCAT,Otimização do processo de aplicação de adesivos estruturais em uma fábrica de máquinas agrícolas,"Engenharias - Engenharia Mecânica - Processos de Fabricação - Processos de Fabricação, Seleção Econômica, Engenharias - Engenharia de Produção - Engenharia do Produto - Processos de Trabalho",Tipo de vínculo desconhecido,sim,não,"ANDRE ALVES DE RESENDE (DOCENTE - Coordenador), DAVI LUCIO XAVIER (DISCENTE - Colaborador)",FINALIZADO,12/05/2023,12/05/2023 a 02/09/2024,
PI05824-2023,FACULDADE DE ENGENHARIA DA UFCAT,Avaliação Metalúrgica do Processo de Soldagem TIG-MIG/MAG: Influência das Correntes de Soldagem,"Engenharias - Engenharia Mecânica - Processos de Fabricação - Processos de Fabricação, Seleção Econômica",Tipo de vínculo desconhecido,sim,não,"ANDRE ALVES DE RESENDE (DOCENTE - Coordenador), CARMEM CÉLIA FRANCISCO DO NASCIMENTO (EXTERNO - Colaborador), GABRIELLA CRISTINA DA SILVA COSTA (EXTERNO - Colaborador), JOSE WALDO MARTINEZ ESPINOSA (EXTERNO - Colaborador), LAZARO ANTONIO DA FONSECA JUNIOR (DOCENTE - Colaborador), MARCO PAULO GUIMARAES (DOCENTE - Colaborador), RUHAM PABLO REIS (EXTERNO - Colaborador), SILVIA PARREIRA TANNUS (DOCENTE - Colaborador), STELLA JACYSZYN BACHEGA (DOCENTE - Colaborador)",EM ANDAMENTO,09/02/2024,07/12/2023 a 31/12/2027,
PI05813-2023,FACULDADE DE ENGENHARIA DA UFCAT,DESENVOLVIMENTO DE CADEIA DE VALOR CIRCULAR PARA O QUARTZO DE CRISTALINA/GO COMO MINERAL ESTRATÉGICO PARA A PRODUÇÃO DE PAINÉIS SOLARES,Engenharias - Engenharia de Minas - Tratamento de Minérios - Métodos de Concentração e Enriquecimento de Minérios,Tipo de vínculo desconhecido,sim,não,"ANDRE CARLOS SILVA (DOCENTE - Coordenador), ARTHUR BERGAMINI (DISCENTE - Colaborador), BRUNA DE OLIVEIRA GOMES (DISCENTE - Colaborador), DÉBORA NASCIMENTO SOUSA (EXTERNO - Colaborador), EDUARDO SILVA VASCONCELOS (EXTERNO - Colaborador), ELENICE MARIA SCHONS SILVA (DOCENTE - Vice-coodernador), FELIPE AUGUSTO OLIVEIRA VAZ (DISCENTE - Colaborador), FERNANDO AUGUSTO DOS SANTOS (EXTERNO - Colaborador), GUILHERME SOUSA ROSA DA SILVA (DISCENTE - Colaborador), HEBER MENDES RODRIGUES (DISCENTE - Colaborador), ISAAC NEWTON NASCIMENTO RODRIGUES (DISCENTE - Colaborador), ITAMAR LUIS FERNANDES JUNIOR (DISCENTE - Colaborador), JACIANY MAYARA BATISTA SOARES (DISCENTE - Colaborador), JOEL JUNIOR FERNANDES (DISCENTE - Colaborador), JOHUR KAWAN CAMARGO DA SILVA (DISCENTE - Colaborador), NEILTON DA SILVA TAPAJÓS (DISCENTE - Colaborador), ROMULO NASCIMENTO REIS (DISCENTE - Colaborador), THALES PRADO FONTES (EXTERNO - Colaborador)",EM ANDAMENTO,29/08/2023,01/09/2023 a 31/08/2025,
